Name,Batch #,SAP Part #,Blend ID,Tank Size,Tank #,Area,Status,Additions,Date,Year,In Last 90 Days,# of Adjustments,Adjustment Count,Additions Flag,Duplicate Batch Count,Record Count,Group
Solution - SUBASSEMBLY,110715,SOL104-01-SUB,104,500,,Mezzanine,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
"Solution, Orange  - SUBASSEMBLY",110709,SHS104-01-SUB,104,275,,Mezzanine,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
Leather Magic - SUBASSEMBLY,110821,LMG175-01-SUB,175,275,,Mezzanine,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Dressings
Eco-Shine - SUBASSEMBLY,110823,ACS204-01-SUB,204,30,,Skirt,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Dressings
A59 Compound VOC - SUBASSEMBLY,110967,ACP229-01-SUB,229,495,,Polishes,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Compounds & Polishes
A59 Compound VOC - SUBASSEMBLY,110012,ACP229-01-SUB,229,495,,Polishes,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Compounds & Polishes
A59 Compound VOC - SUBASSEMBLY,110970,ACP229-01-SUB,229,110,,Polishes,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Compounds & Polishes
A59 Compound VOC - SUBASSEMBLY,110969,ACP229-01-SUB,229,110,,Polishes,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Compounds & Polishes
A59 Compound VOC - SUBASSEMBLY,110968,ACP229-01-SUB,229,110,,Polishes,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Compounds & Polishes
Tunnel Extreme - SUBASSEMBLY,110637,TUN257-01-SUB,257,55,,Skirt,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Soaps & Detergents
Bubbles - SUBASSEMBLY,110704,BUB278-01-SUB,278,275,,Mezzanine,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Soaps & Detergents
Mean Green - SUBASSEMBLY,110707,MGR280-01-SUB,280,275,,Mezzanine,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
Carnauba Foam - SUBASSEMBLY,110635,CAF345-01-SUB,345,110,,Mezzanine,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Soaps & Detergents
Carnauba Wash - SUBASSEMBLY,110814,CAW350-01-SUB,350,55,,Skirt,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Soaps & Detergents
Ultra Foam Shampoo - SUBASSEMBLY,110771,ADP352-01-SUB,352,990,,Acid/Corrosive,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Soaps & Detergents
"Hybrid Polymer Spray Sealant, Grey - SUBASSEMBLY",110827,JWX367-02-SUB,367,55,,Skirt,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Waxes & Sealants
Speed Wax VOC - SUBASSEMBLY,110891,SPW373-01-SUB,373,500,,Mezzanine,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Waxes & Sealants
Pure Cut VOC - SUBASSEMBLY,110723,PUC499-01-SUB,499,110,,Polishes,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Compounds & Polishes
Pure Cut VOC - SUBASSEMBLY,110506,PUC499-01-SUB,499,110,,Polishes,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Compounds & Polishes
Jade Ice - Ceramic Coating - SUBASSEMBLY,110965,JCC500-02-SUB,500,45,,Coatings,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Coatings
Detail Spray - SUBASSEMBLY,110972,ADP500-01-SUB,500,990,,Mezzanine,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Waxes & Sealants
DO NOT PRODUCE MORE SUB - Premium Foam Scented. PINK - SUBASSEMBLY,110746,PRF517-03-SUB,517,55,,Skirt,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Soaps & Detergents
Premium Foam  No Scent / No Dye - SUBASSEMBLY,110971,PRF517-04-SUB,517,330,,Mezzanine,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Soaps & Detergents
A65 Jade Fabric Guard - SUBASSEMBLY,110832,PURA65-01-SUB,A65,55,,Skirt,✔,,3/27/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
Caliber - SUBASSEMBLY,110902,CLB105-01-SUB,105,110,,Polishes,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Compounds & Polishes
Pearl Gloss - SUBASSEMBLY,110882,DTK167-01-SUB,167,365,,Mezzanine,✔,.25 LB CITRIC,3/28/2019,2019,FALSE,,1,1,0,1,Dressings
Body Shop Blend - SUBASSEMBLY,111077,BSB181-01-sub,181,55,,Skirt,✔,.4 LB. TEA,3/28/2019,2019,FALSE,,1,1,0,1,Dressings
Voodoo Blend Leather Dressing - SUBASSEMBLY,110918,SCG183-01-SUB,183,495,,Polishes,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Dressings
Hyper Shine - SUBASSEMBLY,110834,HSH191-01-SUB,191,275,,Mezzanine,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Dressings
"Overture, Tiffany Blue - SUBASSEMBLY",111075,JWX196-01-SUB,196,55,,Skirt,✔,.31 lbs texipol,3/28/2019,2019,FALSE,,1,1,0,1,Dressings
Spoke & Wheel Regular - SUBASSEMBLY,111086,SWR231-01-SUB,231,1000,,Acid/Corrosive,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
Genesis Gold - SUBASSEMBLY,110888,GNG245-01-sub,245,275,,Mezzanine,✔,15# SXS,3/28/2019,2019,FALSE,,1,1,0,1,Cleaners & Degreaser
Wash & Wax Gold - SUBASSEMBLY,110848,WWG252-01-SUB,252,55,,Skirt,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Soaps & Detergents
Bio-Zyme -  SUBASSEMBLY,110875,BIZ256-01-SUB,256,275,,Mezzanine,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
Pink Power - SUBASSEMBLY,110896,DTK267-01-SUB,267,180,,Mezzanine,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
"Wheel Cleaner, Green - SUBASSEMBLY",110829,JWX275-02-SUB,275,110,,Acid/Corrosive,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
Miracle Cut 1000 VOC - SUBASSEMBLY,110917,MRC305-01-SUB,305,110,,Polishes,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Compounds & Polishes
Shine Soap - SUBASSEMBLY,110714,SHS324-01-SUB,324,275,,Mezzanine,✔,42 lbs AOS-40,3/28/2019,2019,FALSE,,1,1,0,1,Soaps & Detergents
Tar Remover VOC - SUBASSEMBLY,110923,TRV347-01-SUB,347,55,,Skirt,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
"Detox Wash & Seal, Melon - SUBASSEMBLY",110825,JWX352-02-SUB,352,55,,Skirt,✔,.95 LBS SALT,3/28/2019,2019,FALSE,,1,1,0,1,Soaps & Detergents
Aqua Seal VOC - SUBASSEMBLY,110898,AQS369-01-SUB,369,55,,Polishes,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Waxes & Sealants
Spray Wax - SUBASSEMBLY,111142,ADP373-02-sub,373,660,,Mezzanine,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Waxes & Sealants
Special Force - SUBASSEMBLY,110926,DTK382-01-SUB,382,55,,Skirt,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
STS 3000 VOC - SUBASSEMBLY,110909,DTK388-01-SUB,388,55,,Polishes,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Waxes & Sealants
Cherry Wet Wax - SUBASSEMBLY,110841,CWW395-01-SUB,395,110,,Polishes,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Waxes & Sealants
Cherry Wet Wax VOC -  SUBASSEMBLY,110906,cwv395-01-sub,395,110,,Polishes,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Waxes & Sealants
Air Freshener Conc - Leather - SUBASSEMBLY,110921,AFC398-17-SUB,398,5,,Skirt,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
Fibre Pro - SUBASSEMBLY,110928,FPR424-01-SUB,424,55,,Skirt,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
Red Head - SUBASSEMBLY,110748,RDH449-01-SUB,449,330,,Mezzanine,✔,add 5.5 lb salt,3/28/2019,2019,FALSE,,1,1,0,1,Soaps & Detergents
Interior Super Soap - SUBASSEMBLY,110931,ISS458-01-SUB,458,55,,Skirt,✔,add 3.5 gall. water,3/28/2019,2019,FALSE,,1,1,0,1,Cleaners & Degreaser
Diamond Cut - SUBASSEMBLY,110911,DTK499-01-SUB,499,55,,Polishes,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Compounds & Polishes
Jade Quartz - Ceramic Coating - SUBASSEMBLY,111100,JCC500-03-SUB,500,30,,Polishes,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Coatings
"Reboot 2.0, Peppermint - SUBASSEMBLY",110836,JWX503-02-SUB,503,110,,Mezzanine,✔,,3/28/2019,2019,FALSE,,0,0,0,1,Waxes & Sealants
Undercarriage Dressing - SUBASSEMBLY,111140,ADP100-01-SUB,100,330,,Mezzanine,✔,,3/29/2019,2019,FALSE,,0,0,0,1,Dressings
Solv-It-All - SUBASSEMBLY,111104,SIA138-01-SUB,138,55,,Skirt,✔,,3/29/2019,2019,FALSE,,0,0,0,1,Cleaners & Degreaser
Lift Off - SUBASSEMBLY,110845,LFT140-01-SUB,140,55,,Skirt,✔,adding water,3/29/2019,2019,FALSE,,1,1,0,1,Cleaners & Degreaser
Purple Protector - SUBASSEMBLY,111071,PPR158-01-SUB,158,55,,Skirt,✔,,3/29/2019,2019,FALSE,,0,0,0,1,Waxes & Sealants
